page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
8,256,Random,compilador.log,102926,16760,0.329004
8,512,Random,compilador.log,72648,11817,0.330263
8,1024,Random,compilador.log,49107,8268,0.374204
8,2048,Random,compilador.log,29328,5432,0.509119
8,4096,Random,compilador.log,12977,2892,0.785006
8,8192,Random,compilador.log,5331,1338,1.303511
8,16384,Random,compilador.log,2595,360,1.490365
16,128,Random,compilador.log,200202,35776,0.442438
16,256,Random,compilador.log,135192,23238,0.354862
16,512,Random,compilador.log,93859,15962,0.314075
16,1024,Random,compilador.log,64448,11003,0.314799
16,2048,Random,compilador.log,42358,7617,0.366059
16,4096,Random,compilador.log,22469,4454,0.479500
16,8192,Random,compilador.log,8987,2189,0.709359
16,16384,Random,compilador.log,3578,931,1.175220
32,128,Random,compilador.log,275341,50885,0.546600
32,256,Random,compilador.log,181216,33279,0.414153
32,512,Random,compilador.log,120294,21265,0.337386
32,1024,Random,compilador.log,81460,14152,0.296372
32,2048,Random,compilador.log,54106,9483,0.301197
32,4096,Random,compilador.log,33070,6144,0.356355
32,8192,Random,compilador.log,15599,3299,0.480295
32,16384,Random,compilador.log,5625,1429,0.684924
64,128,Random,compilador.log,377756,70730,0.691935
64,256,Random,compilador.log,238498,47893,0.491749
64,512,Random,compilador.log,155750,30581,0.377152
64,1024,Random,compilador.log,102533,19171,0.306944
64,2048,Random,compilador.log,67513,12638,0.276556
64,4096,Random,compilador.log,43200,8020,0.283019
64,8192,Random,compilador.log,25119,4982,0.335327
64,16384,Random,compilador.log,10630,2396,0.457594
2,128,LRU,compressor.log,1928,659,0.253436
2,256,LRU,compressor.log,1249,428,0.298172
2,512,LRU,compressor.log,772,215,0.490473
2,1024,LRU,compressor.log,419,0,0.895190
2,2048,LRU,compressor.log,419,0,0.893334
2,4096,LRU,compressor.log,419,0,0.895414
2,8192,LRU,compressor.log,419,0,0.897997
2,16384,LRU,compressor.log,419,0,0.896880
4,128,LRU,compressor.log,2497,852,0.169001
4,256,LRU,compressor.log,1467,517,0.169699
4,512,LRU,compressor.log,891,311,0.217462
4,1024,LRU,compressor.log,511,138,0.587548
4,2048,LRU,compressor.log,317,0,0.700305
4,4096,LRU,compressor.log,317,0,0.700407
4,8192,LRU,compressor.log,317,0,0.699954
4,16384,LRU,compressor.log,317,0,0.702992
8,128,LRU,compressor.log,3235,1127,0.148112
8,256,LRU,compressor.log,1804,640,0.160424
8,512,LRU,compressor.log,1030,386,0.204858
8,1024,LRU,compressor.log,570,197,0.325001
8,2048,LRU,compressor.log,255,0,0.589875
8,4096,LRU,compressor.log,255,0,0.598502
8,8192,LRU,compressor.log,255,0,0.612241
8,16384,LRU,compressor.log,255,0,0.588713
16,128,LRU,compressor.log,11214,2284,0.140024
16,256,LRU,compressor.log,2862,1049,0.145530
16,512,LRU,compressor.log,1495,570,0.162222
16,1024,LRU,compressor.log,850,338,0.258780
16,2048,LRU,compressor.log,430,142,0.359780
16,4096,LRU,compressor.log,209,0,0.506274
16,8192,LRU,compressor.log,209,0,0.506401
16,16384,LRU,compressor.log,209,0,0.508258
32,128,LRU,compressor.log,113347,41056,0.144593
32,256,LRU,compressor.log,10640,2148,0.139718
32,512,LRU,compressor.log,2234,796,0.144426
32,1024,LRU,compressor.log,1119,441,0.162510
32,2048,LRU,compressor.log,640,259,0.254690
32,4096,LRU,compressor.log,308,101,0.227860
32,8192,LRU,compressor.log,172,0,0.442742
32,16384,LRU,compressor.log,172,0,0.442837
64,128,LRU,compressor.log,216584,50592,0.146740
64,256,LRU,compressor.log,104991,34603,0.147153
64,512,LRU,compressor.log,10332,2062,0.139647
64,1024,LRU,compressor.log,1956,736,0.145580
64,2048,LRU,compressor.log,890,376,0.169129
64,4096,LRU,compressor.log,444,187,0.187376
64,8192,LRU,compressor.log,155,20,0.255196
64,16384,LRU,compressor.log,137,0,0.333398
2,128,2a,compressor.log,1933,639,0.168059
2,256,2a,compressor.log,1259,406,0.326378
2,512,2a,compressor.log,776,205,0.484213
2,1024,2a,compressor.log,419,0,0.892942
2,2048,2a,compressor.log,419,0,0.896968
2,4096,2a,compressor.log,419,0,0.898903
2,8192,2a,compressor.log,419,0,0.898734
2,16384,2a,compressor.log,419,0,0.909196
4,128,2a,compressor.log,2249,737,0.175436
4,256,2a,compressor.log,1442,487,0.245909
4,512,2a,compressor.log,894,296,0.219325
4,1024,2a,compressor.log,507,127,0.575490
4,2048,2a,compressor.log,317,0,0.698804
4,4096,2a,compressor.log,317,0,0.703054
4,8192,2a,compressor.log,317,0,0.706839
4,16384,2a,compressor.log,317,0,0.703522
8,128,2a,compressor.log,3069,971,0.147559
8,256,2a,compressor.log,1748,586,0.171292
8,512,2a,compressor.log,1034,362,0.223852
8,1024,2a,compressor.log,572,183,0.322082
8,2048,2a,compressor.log,255,0,0.589866
8,4096,2a,compressor.log,255,0,0.589269
8,8192,2a,compressor.log,255,0,0.588240
8,16384,2a,compressor.log,255,0,0.589957
16,128,2a,compressor.log,6993,1298,0.141641
16,256,2a,compressor.log,2572,827,0.146989
16,512,2a,compressor.log,1415,495,0.180415
16,1024,2a,compressor.log,846,311,0.241542
16,2048,2a,compressor.log,424,133,0.360950
16,4096,2a,compressor.log,209,0,0.509954
16,8192,2a,compressor.log,209,0,0.513867
16,16384,2a,compressor.log,209,0,0.510929
32,128,2a,compressor.log,81796,25448,0.142049
32,256,2a,compressor.log,6456,1086,0.138458
32,512,2a,compressor.log,2056,655,0.149315
32,1024,2a,compressor.log,1088,400,0.185672
32,2048,2a,compressor.log,612,230,0.199515
32,4096,2a,compressor.log,304,94,0.229401
32,8192,2a,compressor.log,172,0,0.443668
32,16384,2a,compressor.log,172,0,0.442321
64,128,2a,compressor.log,204937,49764,0.144639
64,256,2a,compressor.log,80219,25576,0.141133
64,512,2a,compressor.log,6148,1014,0.138701
64,1024,2a,compressor.log,1812,602,0.147032
64,2048,2a,compressor.log,865,342,0.154225
64,4096,2a,compressor.log,436,167,0.159809
64,8192,2a,compressor.log,143,10,0.317971
64,16384,2a,compressor.log,137,0,0.332542
2,128,FIFO,compressor.log,1928,659,0.243127
2,256,FIFO,compressor.log,1249,428,0.298921
2,512,FIFO,compressor.log,772,215,0.491288
2,1024,FIFO,compressor.log,419,0,0.900851
2,2048,FIFO,compressor.log,419,0,0.895026
2,4096,FIFO,compressor.log,419,0,0.894426
2,8192,FIFO,compressor.log,419,0,0.894231
2,16384,FIFO,compressor.log,419,0,0.897636
4,128,FIFO,compressor.log,2497,852,0.168627
4,256,FIFO,compressor.log,1467,517,0.170308
4,512,FIFO,compressor.log,891,311,0.216264
4,1024,FIFO,compressor.log,511,138,0.583779
4,2048,FIFO,compressor.log,317,0,0.698175
4,4096,FIFO,compressor.log,317,0,0.698043
